id,statement,mechanism,evidence_tier,confidence,falsifying_experiment,falsify_threshold,reference_indices
H1,Vascular suppression is a common (shared) feature of μg + GCR exposure but not addressable for NMF (no atlas projection).,"Xylem + Phloem + Procambium expression programs are co-suppressed across all 6 OSD contrasts (cross-dataset meta-analysis, FDR < 1e-4 for vascular_composite, Xylem_root, Vasculature_shoot).",Direct + Atlas,High,"Tissue-resolved RNA-seq of pure xylem/phloem cells from spaceflight Arabidopsis (e.g., laser-capture or sorted GFP-marked lines).",Failure to reproduce vascular_composite Z<−3 in two independent µg + GCR datasets would falsify.,"[4,9,10,11]"
H2,Microgravity-induced GA suppression (OSD-678 leaf-dark GA_biosynthesis = −1.730) drives delayed germination via the canonical GA → DELLA pathway.,"GA biosynthesis genes (GA3ox, GA20ox) collapse in leaf-dark; DELLA accumulation predicted to repress germination.",Direct + Literature,High,GA-add-back experiment in OSD spaceflight Col-0; ga1-3 mutant; ga1-3 with GA add-back.,"If ga1-3 phenocopies the µg delay but exogenous GA in space FAILS to rescue, this pathway is not causal.","[1,2,4]"
H3,"NMF accelerates germination through opposite-direction shoot-GA induction (+0.722) relative to μg-suppression, suggesting magnetic stress activates germination via the same GA-DELLA axis but inversely.",NMF shoot 96h GA_biosynthesis +0.722; opposite-sign anchor to µg leaf-dark -1.730.,Direct + Literature,Medium,Time-course imbibition + GA-content HPLC in 50 nT NMF vs. 50 µT GMF; ga1-3 mutant under NMF.,"If ga1-3 still germinates faster under NMF than under GMF, GA pathway is not the mediator.","[12,13,14,15]"
H4,"Polyphenol biosynthesis (chalcone synthase, MYB90/PAP2, anthocyanin pathway) is induced in NMF shoot late timepoints (24–96h) as a parallel antioxidant pathway alongside ROS clusters.",Mean polyphenol-gene panel log2 in NMF shoot 96h = +0.42; CHS AT5G66220 +1.81; MYB90/PAP2 AT1G66390 +1.63. HPLC content increase confirmed (S6 *** Tukey).,Direct,High,tt4 (CHS-null) + myb90 mutant under NMF; measure germination kinetics + ROS.,"If tt4 or myb90 mutants show no NMF-induced germination acceleration but maintain ROS scavenging, polyphenols are dispensable.","[12,15]"
H5,"H2O2 transcript induction (+1.51 to +2.40 log2) under NMF is paralleled by very small protein H2O2 changes (~+0.003–0.014 mM, ~1%), meaning the transcript-level response is a buffered amplification rather than a true paradox.","Stage E framed transcript-vs-protein as paradoxical; revised view: both transcripts (PER36, RBOHJ) and protein content go same direction, magnitude differs by ~100× scale.",Direct,High,Sub-cellular H2O2 imaging (HyPer or roGFP2) in NMF root + shoot at 24/48/96h.,"If sub-cellular H2O2 imaging shows DECREASE rather than INCREASE at 48h, the magnitude divergence revision is wrong.",[12]
H6,"Five master regulators (RBOHF, HAB1, SLY1, AT5G07220 xylem marker, root_cap marker AT5G62340) are causal nodes whose perturbation should alter the cross-stressor germination phenotype.","Composite master-regulator score combining degree centrality + cross-stressor robustness + sign concordance ranks these among the top 10 (5 Direct, 5 Atlas).",Direct + Atlas,Medium,"rbohf, hab1, sly1, and CRISPR-induced KO of AT5G07220 lines under µg + GCR + NMF.","If KO does not alter germination kinetics by ≥30% under any of the three stressors, regulator is not causal.","[1,2,7]"
H7,"Most vulnerable cell populations (DCM_root, CotyledonCell_root, Xylem_root, Vasculature_shoot, Atrichoblast_root) are early-warning indicators of stress response and good targets for tissue-specific intervention.",Mean |singscore| across 6 OSD conditions is highest in these 5 cell-types; vascular triplet (Xylem + Vasc + Phloem) suppressed across both µg + GCR.,Atlas,Medium,"Targeted scRNA-seq of µg + GCR Arabidopsis tissues, FACS-sort by vasc-marker GFP lines, profile.","If targeted scRNA-seq shows <2-fold enrichment of stress-response programs in DCM_root or Xylem_root, the ranking is not biologically meaningful.","[24,25]"
H8,"Light × tissue rewiring (13 cells with opposite-direction labels in OSD-678 dark vs. light) means dark-state germination uses a distinct hormone wiring from light-state germination, with the µg effect amplified in dark.",OSD-678 leaf-dark GA = −1.730 vs. leaf-light GA = −0.688; ABA-bio dark = +1.41 vs. light = −0.64; CRY/circadian also flips.,Direct,High,cry1cry2 double mutant + ABI5 mutant under continuous dark vs. continuous light + µg.,"If cry1cry2 abolishes the dark-amplification of GA collapse, CRY signaling is required.","[5,6,7,8]"
H9,Embryo + endosperm + seed-coat + radicle responses to µg/GCR/NMF are entirely unaddressable from the current datasets and require dedicated experiments.,"These 4 tissues have ZERO cells with Direct tier in the 216-cell matrix; only T3 literature anchors via [1, 2, 8, 12, 15].",Hypothesis,Low,"Embryo-dissected RNA-seq from µg, GCR, and NMF spaceflight; endosperm-dissected RNA-seq from same.",Any direct DE data from these tissues — present analysis cannot resolve.,"[2,15]"
H10,NMF cell-type-specific responses are infeasible to project from the Maffei 194-gene panel because the panel <5-gene overlaps with Han 2023 / Liew 2024 cell-type marker panels.,"Panel-size limitation, documented; NMF response stays whole-tissue resolution.",Hypothesis,Low,NMF scRNA-seq directly (no panel projection needed).,Direct scRNA-seq under NMF would resolve.,"[12,24,25]"
